,BUYER_STATE,BUYER_COUNTY,Year,MME
253,AL,CONECUH,2012,8843.0598118125
254,AL,COOSA,2006,983.094235
255,AL,COOSA,2007,1203.5786225
256,AL,COOSA,2008,915.1193565875
257,AL,COOSA,2009,1037.495925
258,AL,COOSA,2010,1312.86969
259,AL,COOSA,2011,1278.147885
260,AL,COOSA,2012,1292.18019
261,AL,COVINGTON,2006,11899.5335808625
262,AL,COVINGTON,2007,14586.954119225
263,AL,COVINGTON,2008,15956.115898587499
264,AL,COVINGTON,2009,17503.63057545
265,AL,COVINGTON,2010,20543.037046537498
266,AL,COVINGTON,2011,20687.100218625
267,AL,COVINGTON,2012,21573.6337390875
268,AL,CRENSHAW,2006,2077.1591725
269,AL,CRENSHAW,2007,2453.0272575
270,AL,CRENSHAW,2008,2787.044915
271,AL,CRENSHAW,2009,3148.8038925
272,AL,CRENSHAW,2010,3399.6149625
273,AL,CRENSHAW,2011,3699.5430149999997
274,AL,CRENSHAW,2012,4222.2988388625
275,AL,CULLMAN,2006,27960.2212343625
276,AL,CULLMAN,2007,34198.798652175
277,AL,CULLMAN,2008,36166.4985222625
278,AL,CULLMAN,2009,38865.78637545
279,AL,CULLMAN,2010,41407.02606
280,AL,CULLMAN,2011,46268.256001125
281,AL,CULLMAN,2012,48024.9262386
282,AL,DALE,2006,9251.3089000875
283,AL,DALE,2007,10493.27855145
284,AL,DALE,2008,11876.191552175
285,AL,DALE,2009,14692.996021125
286,AL,DALE,2010,18105.01305045
287,AL,DALE,2011,19705.99171545
288,AL,DALE,2012,18810.0037959
289,AL,DALLAS,2006,8232.200157
290,AL,DALLAS,2007,11929.8233588625
291,AL,DALLAS,2008,14590.6182033625
292,AL,DALLAS,2009,14264.7745945125
293,AL,DALLAS,2010,13622.15491245
294,AL,DALLAS,2011,14112.426709725
295,AL,DALLAS,2012,15074.9659660875
296,AL,DE KALB,2006,17888.29564795
297,AL,DE KALB,2007,21424.8788302875
298,AL,DE KALB,2008,23249.6073399875
299,AL,DE KALB,2009,26028.5115402
300,AL,DE KALB,2010,31037.884238025
301,AL,DE KALB,2011,36443.4997254
302,AL,DE KALB,2012,42960.0088012875
303,AL,ELMORE,2006,14626.8038582625
304,AL,ELMORE,2007,17853.3671609625
305,AL,ELMORE,2008,21185.536576925
306,AL,ELMORE,2009,23500.1092867875
307,AL,ELMORE,2010,25948.4567836125
308,AL,ELMORE,2011,31638.54257655
309,AL,ELMORE,2012,35330.042862
310,AL,ESCAMBIA,2006,12538.987860725
311,AL,ESCAMBIA,2007,13072.9300904875
312,AL,ESCAMBIA,2008,14679.3221192625
313,AL,ESCAMBIA,2009,15402.6840720375
314,AL,ESCAMBIA,2010,19566.889998862498
315,AL,ESCAMBIA,2011,18713.2747463625
316,AL,ESCAMBIA,2012,17929.682310225
317,AL,ETOWAH,2006,65594.5498576
318,AL,ETOWAH,2007,81248.6824054875
319,AL,ETOWAH,2008,89648.582787625
320,AL,ETOWAH,2009,95393.8161019875
321,AL,ETOWAH,2010,101022.9924022125
322,AL,ETOWAH,2011,111308.544694725
323,AL,ETOWAH,2012,120654.5905331625
324,AL,FAYETTE,2006,3990.0165225
325,AL,FAYETTE,2007,4278.2738
326,AL,FAYETTE,2008,4968.441345
327,AL,FAYETTE,2009,5157.1352625
328,AL,FAYETTE,2010,5623.8980175
329,AL,FAYETTE,2011,6855.9070613625
330,AL,FAYETTE,2012,8049.841335
331,AL,FRANKLIN,2006,13266.6434503625
332,AL,FRANKLIN,2007,17232.91366275
333,AL,FRANKLIN,2008,20569.76054235
334,AL,FRANKLIN,2009,18764.9372965875
335,AL,FRANKLIN,2010,21390.96133545
336,AL,FRANKLIN,2011,25028.4226915875
337,AL,FRANKLIN,2012,28422.7578727125
338,AL,GENEVA,2006,7448.286040225
339,AL,GENEVA,2007,6771.67581
340,AL,GENEVA,2008,7446.781797725
341,AL,GENEVA,2009,9293.924655225
342,AL,GENEVA,2010,8524.7589788625
343,AL,GENEVA,2011,9798.7208290875
344,AL,GENEVA,2012,10176.6275175
345,AL,GREENE,2006,250.9760475
346,AL,GREENE,2007,448.128265
347,AL,GREENE,2008,546.1803188625
348,AL,GREENE,2009,574.971195225
349,AL,GREENE,2010,733.9257375
350,AL,GREENE,2011,1275.9052575
351,AL,GREENE,2012,1175.0025825
352,AL,HALE,2006,1749.9191577249999
353,AL,HALE,2007,2321.5757890874997
354,AL,HALE,2008,2358.588975225
355,AL,HALE,2009,2540.44767
356,AL,HALE,2010,3228.2777513625
357,AL,HALE,2011,3934.2588075
358,AL,HALE,2012,4465.592317725
359,AL,HENRY,2006,2287.9833275
360,AL,HENRY,2007,2936.39136
361,AL,HENRY,2008,3129.620925
362,AL,HENRY,2009,3514.008015
363,AL,HENRY,2010,3801.40449
364,AL,HENRY,2011,4157.0972025
365,AL,HENRY,2012,4777.4039363625
366,AL,HOUSTON,2006,29875.257676225
367,AL,HOUSTON,2007,35054.3807689875
368,AL,HOUSTON,2008,39711.027877175
369,AL,HOUSTON,2009,43027.7839477125
370,AL,HOUSTON,2010,52177.5871699875
371,AL,HOUSTON,2011,50627.00473125
372,AL,HOUSTON,2012,49915.5768722625
373,AL,JACKSON,2006,22916.8377958625
374,AL,JACKSON,2007,25200.0335703625
375,AL,JACKSON,2008,24214.0090558625
376,AL,JACKSON,2009,31164.8223938625
377,AL,JACKSON,2010,34320.3908890875
378,AL,JACKSON,2011,36090.9789490875
379,AL,JACKSON,2012,38281.8695227125
380,AL,JEFFERSON,2006,232244.349664125
381,AL,JEFFERSON,2007,253098.69927365
382,AL,JEFFERSON,2008,275982.5588272375
383,AL,JEFFERSON,2009,300777.961145325
384,AL,JEFFERSON,2010,340625.4721770375
385,AL,JEFFERSON,2011,404258.9274374625
386,AL,JEFFERSON,2012,393767.3643556125
387,AL,LAMAR,2006,3425.3888899875
388,AL,LAMAR,2007,3614.696552375
389,AL,LAMAR,2008,4300.6396145375
390,AL,LAMAR,2009,4911.2248059
391,AL,LAMAR,2010,6273.3400463625
392,AL,LAMAR,2011,7822.3541593125
393,AL,LAMAR,2012,7658.85805545
394,AL,LAUDERDALE,2006,25413.75461
395,AL,LAUDERDALE,2007,30886.645670225
396,AL,LAUDERDALE,2008,35232.3420545875
397,AL,LAUDERDALE,2009,36792.5972977125
398,AL,LAUDERDALE,2010,43138.5636661125
399,AL,LAUDERDALE,2011,54832.087465875
400,AL,LAUDERDALE,2012,51603.3973949625
401,AL,LAWRENCE,2006,9500.4255925
402,AL,LAWRENCE,2007,9529.7225063625
403,AL,LAWRENCE,2008,11712.1048265875
404,AL,LAWRENCE,2009,11750.8758909
405,AL,LAWRENCE,2010,12126.65008545
406,AL,LAWRENCE,2011,15489.8741438625
407,AL,LAWRENCE,2012,18056.3644725
408,AL,LEE,2006,12147.421193675
409,AL,LEE,2007,14191.159131675
410,AL,LEE,2008,15980.179088175
411,AL,LEE,2009,19436.5478670375
412,AL,LEE,2010,20730.9106018125
413,AL,LEE,2011,24056.723558625
414,AL,LEE,2012,25157.283182475
415,AL,LIMESTONE,2006,18289.061099
416,AL,LIMESTONE,2007,17869.2181493625
417,AL,LIMESTONE,2008,21007.9469610875
418,AL,LIMESTONE,2009,21174.4506338625
419,AL,LIMESTONE,2010,25339.458218175
420,AL,LIMESTONE,2011,31468.276177725
421,AL,LIMESTONE,2012,36121.597635225
422,AL,LOWNDES,2006,279.369975
423,AL,LOWNDES,2007,286.4648625
424,AL,LOWNDES,2008,541.3928625
425,AL,LOWNDES,2009,853.6433625
426,AL,LOWNDES,2010,1106.8292745375
427,AL,LOWNDES,2011,1354.5612609
428,AL,LOWNDES,2012,1277.3772652124999
429,AL,MACON,2006,1976.9133513625
430,AL,MACON,2007,2192.4559263625
431,AL,MACON,2008,2454.4615825
432,AL,MACON,2009,2718.1760625
433,AL,MACON,2010,2877.6250875
434,AL,MACON,2011,3148.9619974875
435,AL,MACON,2012,3844.3071052125
436,AL,MADISON,2006,94312.1362239625
437,AL,MADISON,2007,123127.7949468625
438,AL,MADISON,2008,148603.4389950125
439,AL,MADISON,2009,145452.332128575
440,AL,MADISON,2010,174384.94998375
441,AL,MADISON,2011,211018.7579045625
442,AL,MADISON,2012,251349.2441109375
443,AL,MARENGO,2006,3458.7578509
444,AL,MARENGO,2007,3931.0297431625
445,AL,MARENGO,2008,4661.925376125
446,AL,MARENGO,2009,5309.233411575
447,AL,MARENGO,2010,6398.885754525
448,AL,MARENGO,2011,7416.5322909
449,AL,MARENGO,2012,7946.497885425
450,AL,MARION,2006,15341.4154663625
451,AL,MARION,2007,17726.7656263625
452,AL,MARION,2008,20565.590835
453,AL,MARION,2009,23347.571126362498
454,AL,MARION,2010,27710.28195885
455,AL,MARION,2011,34724.3175565875
456,AL,MARION,2012,36862.8645793125
457,AL,MARSHALL,2006,35396.88385685
458,AL,MARSHALL,2007,39373.2826778125
459,AL,MARSHALL,2008,44786.0290224875
460,AL,MARSHALL,2009,52972.6678311
461,AL,MARSHALL,2010,62145.948542475
462,AL,MARSHALL,2011,76467.4657865625
463,AL,MARSHALL,2012,88101.0498522375
464,AL,MOBILE,2006,107327.3661357
465,AL,MOBILE,2007,121170.933673585
466,AL,MOBILE,2008,132706.4564804125
467,AL,MOBILE,2009,143541.6139242375
468,AL,MOBILE,2010,160441.300508775
469,AL,MOBILE,2011,184413.3013165875
470,AL,MOBILE,2012,224370.854223675
471,AL,MONROE,2006,4820.3028825
472,AL,MONROE,2007,5461.110410225
473,AL,MONROE,2008,6543.68301545
474,AL,MONROE,2009,7334.8214325
475,AL,MONROE,2010,7088.9795740875
476,AL,MONROE,2011,8188.43634
477,AL,MONROE,2012,8458.7727375
478,AL,MONTGOMERY,2006,47333.518409175
479,AL,MONTGOMERY,2007,55378.4931312125
480,AL,MONTGOMERY,2008,63605.151332575
481,AL,MONTGOMERY,2009,65264.06555715
482,AL,MONTGOMERY,2010,65600.2159406625
483,AL,MONTGOMERY,2011,71857.56231885
484,AL,MONTGOMERY,2012,73469.1759220125
485,AL,MORGAN,2006,44156.720858725
486,AL,MORGAN,2007,51234.1599
487,AL,MORGAN,2008,58242.4067925
488,AL,MORGAN,2009,62430.9714488625
489,AL,MORGAN,2010,66961.86074295
490,AL,MORGAN,2011,79520.594025225
491,AL,MORGAN,2012,90385.1390365875
492,AL,PERRY,2006,1018.1519
493,AL,PERRY,2007,1276.9736238625
494,AL,PERRY,2008,1372.0225238625
495,AL,PERRY,2009,1484.6514788625
496,AL,PERRY,2010,1372.70028
497,AL,PERRY,2011,1555.5801863625
498,AL,PERRY,2012,1748.5096275
499,AL,PICKENS,2006,2510.6867913625
500,AL,PICKENS,2007,3456.646939
501,AL,PICKENS,2008,4127.0754873625
502,AL,PICKENS,2009,4599.7820138625
503,AL,PICKENS,2010,4603.29177
504,AL,PICKENS,2011,4715.0183063625
505,AL,PICKENS,2012,5779.7877197625
506,AL,PIKE,2006,5029.7978307250005
507,AL,PIKE,2007,6927.3332365875
508,AL,PIKE,2008,8132.0468133125005
509,AL,PIKE,2009,9258.4304363625
510,AL,PIKE,2010,9751.916805
511,AL,PIKE,2011,11533.3069240875
512,AL,PIKE,2012,11837.4143522625
513,AL,RANDOLPH,2006,4433.529785
514,AL,RANDOLPH,2007,5209.74809
515,AL,RANDOLPH,2008,5483.412160225
516,AL,RANDOLPH,2009,6420.3724425
517,AL,RANDOLPH,2010,6559.78989
518,AL,RANDOLPH,2011,7900.631506125
519,AL,RANDOLPH,2012,9989.7404827125
520,AL,RUSSELL,2006,13772.3898135875
521,AL,RUSSELL,2007,16177.835879075
522,AL,RUSSELL,2008,19021.8810169875
523,AL,RUSSELL,2009,20571.4114209
524,AL,RUSSELL,2010,21680.3911538625
525,AL,RUSSELL,2011,28591.8027568125
526,AL,RUSSELL,2012,35356.4679667875
527,AL,SAINT CLAIR,2006,18353.4720370875
528,AL,SAINT CLAIR,2007,20352.13041095
529,AL,SAINT CLAIR,2008,22615.904443225
530,AL,SAINT CLAIR,2009,24440.50849545
531,AL,SAINT CLAIR,2010,26491.5528413625
532,AL,SAINT CLAIR,2011,30956.2179640875
533,AL,SAINT CLAIR,2012,35592.6704965875
534,AL,SHELBY,2006,76294.993361075
535,AL,SHELBY,2007,79475.98017595
536,AL,SHELBY,2008,78303.9607830625
537,AL,SHELBY,2009,85315.8045763125
538,AL,SHELBY,2010,88694.6821038375
539,AL,SHELBY,2011,95307.9891249375
540,AL,SHELBY,2012,104473.65259695
541,AL,SUMTER,2006,925.0686875
542,AL,SUMTER,2007,1318.5769475
543,AL,SUMTER,2008,1432.54931
544,AL,SUMTER,2009,1742.6689125
545,AL,SUMTER,2010,2013.862902
546,AL,SUMTER,2011,2339.1468449999998
547,AL,SUMTER,2012,2546.88357
548,AL,TALLADEGA,2006,21923.0417201625
549,AL,TALLADEGA,2007,27520.7609847625
550,AL,TALLADEGA,2008,30223.3566254375
551,AL,TALLADEGA,2009,34624.5803277
552,AL,TALLADEGA,2010,38945.37592815
553,AL,TALLADEGA,2011,43728.58747725
554,AL,TALLADEGA,2012,46591.0943874375
555,AL,TALLAPOOSA,2006,7213.788713725
556,AL,TALLAPOOSA,2007,8830.061126225
557,AL,TALLAPOOSA,2008,10328.8947667625
558,AL,TALLAPOOSA,2009,10931.4687309
559,AL,TALLAPOOSA,2010,11008.967783175
560,AL,TALLAPOOSA,2011,13001.4813788625
561,AL,TALLAPOOSA,2012,14188.6560422625
562,AL,TUSCALOOSA,2006,40419.45131755
563,AL,TUSCALOOSA,2007,45632.427457325
564,AL,TUSCALOOSA,2008,52778.1711962
565,AL,TUSCALOOSA,2009,57595.4680638
566,AL,TUSCALOOSA,2010,56430.2977974375
567,AL,TUSCALOOSA,2011,56657.0877447
568,AL,TUSCALOOSA,2012,73729.6856374125
569,AL,WALKER,2006,72509.605804875
570,AL,WALKER,2007,79062.0254636125
571,AL,WALKER,2008,90340.6706816625
572,AL,WALKER,2009,95464.384135425
573,AL,WALKER,2010,99354.679997625
574,AL,WALKER,2011,103900.4008933875
575,AL,WALKER,2012,102990.3058272375
576,AL,WASHINGTON,2006,950.4735225
577,AL,WASHINGTON,2007,930.1063163625
578,AL,WASHINGTON,2008,1073.435610675
579,AL,WASHINGTON,2009,871.7374588499999
580,AL,WASHINGTON,2010,1017.7835824875
581,AL,WASHINGTON,2011,1043.435835675
582,AL,WASHINGTON,2012,1084.4530124999999
583,AL,WILCOX,2006,589.6356725
584,AL,WILCOX,2007,752.822746675
585,AL,WILCOX,2008,974.855125
586,AL,WILCOX,2009,1136.8008
587,AL,WILCOX,2010,1077.9581025
588,AL,WILCOX,2011,1086.27555
589,AL,WILCOX,2012,1203.18105
590,AL,WINSTON,2006,11258.60046795
591,AL,WINSTON,2007,12900.791445
592,AL,WINSTON,2008,14009.63813
593,AL,WINSTON,2009,15356.728185
594,AL,WINSTON,2010,16300.483875
595,AL,WINSTON,2011,18040.7029425
596,AL,WINSTON,2012,18119.789306025
597,AR,ARKANSAS,2006,4830.7446698625
598,AR,ARKANSAS,2007,5950.2773745
599,AR,ARKANSAS,2008,6418.2303075
600,AR,ARKANSAS,2009,6643.9933125
601,AR,ARKANSAS,2010,7564.533495
602,AR,ARKANSAS,2011,7502.461642725
603,AR,ARKANSAS,2012,8032.757680425
604,AR,ASHLEY,2006,4179.869040225
605,AR,ASHLEY,2007,4652.3571790875
606,AR,ASHLEY,2008,4664.556255
607,AR,ASHLEY,2009,4993.19017545
608,AR,ASHLEY,2010,5957.9666663625
609,AR,ASHLEY,2011,6347.3857695375
610,AR,ASHLEY,2012,6841.9243465875
611,AR,BAXTER,2006,11600.248253175001
612,AR,BAXTER,2007,12178.2223375125
613,AR,BAXTER,2008,14161.6224959625
614,AR,BAXTER,2009,18478.3084254
615,AR,BAXTER,2010,21053.492902500002
616,AR,BAXTER,2011,20721.728040675
617,AR,BAXTER,2012,23637.0176899875
618,AR,BENTON,2006,45191.3301903625
619,AR,BENTON,2007,54435.505739537504
620,AR,BENTON,2008,62972.13955285
621,AR,BENTON,2009,77613.2500406625
622,AR,BENTON,2010,94245.6232115625
623,AR,BENTON,2011,108174.008607225
624,AR,BENTON,2012,119748.60793815
625,AR,BOONE,2006,10420.7743938625
626,AR,BOONE,2007,13447.0003620875
627,AR,BOONE,2008,14849.171287950001
628,AR,BOONE,2009,15248.7218520375
629,AR,BOONE,2010,17108.907038175
630,AR,BOONE,2011,19835.8274295375
631,AR,BOONE,2012,22998.8255440875
632,AR,BRADLEY,2006,1376.19231095
633,AR,BRADLEY,2007,1687.774482
634,AR,BRADLEY,2008,2122.8215085375
635,AR,BRADLEY,2009,2269.077232725
636,AR,BRADLEY,2010,2451.8776275
637,AR,BRADLEY,2011,2946.0352163625003
638,AR,BRADLEY,2012,3061.256933175
639,AR,CALHOUN,2006,1009.9854885
640,AR,CALHOUN,2007,1347.757086
641,AR,CALHOUN,2008,1397.5794165
642,AR,CALHOUN,2009,1714.152675
643,AR,CALHOUN,2010,1818.173325
644,AR,CALHOUN,2011,1746.158325
645,AR,CALHOUN,2012,1668.3035325
646,AR,CARROLL,2006,8417.3271548625
647,AR,CARROLL,2007,12397.696260675
648,AR,CARROLL,2008,14104.8016195875
649,AR,CARROLL,2009,17258.280023175
650,AR,CARROLL,2010,19456.15214295
651,AR,CARROLL,2011,19618.5008175
652,AR,CARROLL,2012,21691.9797075
653,AR,CHICOT,2006,3156.0734475
654,AR,CHICOT,2007,3440.6574135
655,AR,CHICOT,2008,3363.0941385
656,AR,CHICOT,2009,3148.077675
657,AR,CHICOT,2010,5232.1668375
658,AR,CHICOT,2011,5210.7981865875
659,AR,CHICOT,2012,5553.7882103625
660,AR,CLARK,2006,4483.5317934
661,AR,CLARK,2007,5480.467787175
662,AR,CLARK,2008,5643.958962
663,AR,CLARK,2009,6116.8854825
664,AR,CLARK,2010,7566.572025675
665,AR,CLARK,2011,8139.138172725
666,AR,CLARK,2012,8657.24745
667,AR,CLAY,2006,2817.0682485
668,AR,CLAY,2007,3270.7985625375
669,AR,CLAY,2008,4097.4941625
670,AR,CLAY,2009,4189.334985
671,AR,CLAY,2010,4566.6456
672,AR,CLAY,2011,4622.0440163625
673,AR,CLAY,2012,4832.21338635
674,AR,CLEBURNE,2006,6460.911982675
675,AR,CLEBURNE,2007,7616.4866295
676,AR,CLEBURNE,2008,7872.690032
677,AR,CLEBURNE,2009,8693.192685
678,AR,CLEBURNE,2010,10160.06454
679,AR,CLEBURNE,2011,9871.228305
680,AR,CLEBURNE,2012,10309.058685
681,AR,CLEVELAND,2006,129.93045
682,AR,CLEVELAND,2007,131.60772
683,AR,CLEVELAND,2008,79.2400313625
684,AR,COLUMBIA,2006,3594.8183925
685,AR,COLUMBIA,2007,4177.13763
686,AR,COLUMBIA,2008,6296.5352895
687,AR,COLUMBIA,2009,6573.9102038625
688,AR,COLUMBIA,2010,6688.6232663625
689,AR,COLUMBIA,2011,7090.49736045
690,AR,COLUMBIA,2012,7573.36420635
691,AR,CONWAY,2006,4909.318857
692,AR,CONWAY,2007,5151.8446035
693,AR,CONWAY,2008,6049.360365225
694,AR,CONWAY,2009,6948.5492925
695,AR,CONWAY,2010,7937.5016025
696,AR,CONWAY,2011,9121.402365
697,AR,CONWAY,2012,11492.3194275
698,AR,CRAIGHEAD,2006,26364.4074963125
699,AR,CRAIGHEAD,2007,29092.3526150375
700,AR,CRAIGHEAD,2008,31193.07399345
701,AR,CRAIGHEAD,2009,34885.6282620375
702,AR,CRAIGHEAD,2010,35433.6101738625
703,AR,CRAIGHEAD,2011,35418.63145545
704,AR,CRAIGHEAD,2012,37960.608887475
705,AR,CRAWFORD,2006,22073.505155225
706,AR,CRAWFORD,2007,29202.516169450002
707,AR,CRAWFORD,2008,35109.8031405
708,AR,CRAWFORD,2009,34436.9742338625
709,AR,CRAWFORD,2010,40525.1070863625
710,AR,CRAWFORD,2011,46820.836477725
711,AR,CRAWFORD,2012,54815.5117545375
712,AR,CRITTENDEN,2006,11768.27194
713,AR,CRITTENDEN,2007,12895.494565725001
714,AR,CRITTENDEN,2008,12590.8294185875
715,AR,CRITTENDEN,2009,12238.767225
716,AR,CRITTENDEN,2010,13859.5002075
717,AR,CRITTENDEN,2011,13009.8839588625
718,AR,CRITTENDEN,2012,12853.186425
719,AR,CROSS,2006,2744.131548
720,AR,CROSS,2007,3699.39564
721,AR,CROSS,2008,4266.40503
722,AR,CROSS,2009,3769.5337125
723,AR,CROSS,2010,3810.6558675
724,AR,CROSS,2011,4631.4744413625
725,AR,CROSS,2012,4677.9107213625
726,AR,DALLAS,2006,1256.9566875
727,AR,DALLAS,2007,1361.1239025
728,AR,DALLAS,2008,1454.7098288625
729,AR,DALLAS,2009,1729.637625
730,AR,DALLAS,2010,1801.2129
731,AR,DALLAS,2011,2139.3715318125
732,AR,DALLAS,2012,2356.1370938625
733,AR,DESHA,2006,2114.8216127250003
734,AR,DESHA,2007,2600.7732855375
735,AR,DESHA,2008,2757.9117118125
736,AR,DESHA,2009,2822.13253545
737,AR,DESHA,2010,3612.33209295
738,AR,DESHA,2011,4027.8724088625
739,AR,DESHA,2012,4665.62499795
740,AR,DREW,2006,3000.956220225
741,AR,DREW,2007,3843.1402455
742,AR,DREW,2008,4285.491075
743,AR,DREW,2009,4717.390545225
744,AR,DREW,2010,5099.1638440875
745,AR,DREW,2011,5700.323400675
746,AR,DREW,2012,6144.9701740875
747,AR,FAULKNER,2006,16638.279497225
748,AR,FAULKNER,2007,19588.176367
749,AR,FAULKNER,2008,23535.4540995375
750,AR,FAULKNER,2009,29658.9046163625
751,AR,FAULKNER,2010,33865.6789125
752,AR,FAULKNER,2011,36548.544855
753,AR,FAULKNER,2012,41960.36151
754,AR,FRANKLIN,2006,3864.9187995
755,AR,FRANKLIN,2007,5601.1505325
756,AR,FRANKLIN,2008,7065.5526375
757,AR,FRANKLIN,2009,8188.9456088625
758,AR,FRANKLIN,2010,9512.4265275
759,AR,FRANKLIN,2011,10097.4777375
760,AR,FRANKLIN,2012,11366.040855225
761,AR,FULTON,2006,6831.779736862501
762,AR,FULTON,2007,7726.7788009875
763,AR,FULTON,2008,9491.323807575
764,AR,FULTON,2009,11440.6382599875
765,AR,FULTON,2010,9885.6424097625
